Type,Company Name,,,,,,,,,,,,,,,,
KPI,Total,Beertown Barrie,Beertown Burlington,Beertown Cambridge,Beertown Etobicoke,Beertown Guelph,Beertown London,Beertown Newmarket,Beertown Oakville,Beertown Toronto,Beertown Waterloo,Beertown Whitby,Beertown White Oaks Mall,Sociable Kitchen + Tavern,Sole,The Bauer Kitchen,Wildcraft Waterloo
1. Totals,,,,,,,,,,,,,,,,,
1. Total Daily Sales,248 878.25,12 640.37,19 391.41,11 968.12,15 347.76,14 524.92,14 150.61,15 252.92,19 577.16,14 650.67,17 780.6,19 481.43,13 201.09,10 393.05,10 145.95,22 695.28,17 676.91
Manager,,,,,,,,,,,,,,,,,
Manager: 1. Labour Budget %,7.17,6.89,6.38,7.41,8.57,6.49,9.55,7.47,6.49,7.05,5.79,7.08,7.71,6.68,9.28,5.62,6.32
Manager: 2. Daily Labour Actual % of Sales,7.13,8.97,6.21,8.63,6.88,7.95,6.1,7.89,5.08,6.6,6.37,5.44,8.06,9.04,8.51,5.35,7.02
Manager: 3. WTD Labour Actual % of Sales,9.47,11.47,8.63,13.16,10.63,7.78,8.95,14.17,7.03,6.79,7.32,8.84,11.39,9.82,10,6.69,8.85
Manager: 4. Daily Labour Projection % of Sales,6.97,11.35,7.56,,10.85,5.83,6.08,8.09,9.26,7.69,4.49,8.37,6.38,7.52,6.05,5.62,6.4
Manager: 5. Full Week Labour Projection % of Sales,7.19,9.1,8.51,,8.34,7.04,7.75,10.11,7.5,8.3,6.78,7.68,8.87,5.94,7.58,4.8,6.84
Manager: 6. Daily Labour $ +/- Labour Projections,-114.24,-0.71,-156.58,2.99,4.86,-10.31,-79.49,-9.98,-223.58,-1.67,-103.48,56.41,221.37,0.02,15.36,145.69,24.86
Manager: 7. WTD Labour $ +/- Labour Projections,563.33,-63.15,-563.62,135.35,661.05,147.84,-142.46,0.08,-432.42,-3.14,-103.42,29.45,569.18,85.22,-181.03,362.34,62.06
Manager: 8. WTD Labour % +/- Labour Budget %,2.3,4.58,2.25,5.75,2.06,1.29,-0.6,6.7,0.54,-0.26,1.53,1.76,3.68,3.14,0.72,1.07,2.53
Manager: 9 WTD Labour $ +/- Relative to Sales,-4 504.8,-907.93,-1 279.18,135.35,-273.06,-63.09,-235.98,62.57,-1 750.14,-136.87,-167.17,-980.07,372.14,169.01,104.69,210.87,234.06
Promos,,,,,,,,,,,,,,,,,
Relationship $,785.4,62.26,51.06,185.77,90.62,50.86,0,152.18,54.75,30.96,0,0,46.49,0,26.5,12.45,21.5
Substandard $,1 017.04,43.36,85.63,43.47,135.11,44.17,116.64,25.49,67.04,88.95,65.47,56.47,72.25,11.49,56,73.5,32
Total Promo %,0.76,0.84,0.7,1.92,1.47,0.65,0.82,1.16,0.62,0.82,0.37,0.29,0.9,0.11,0.81,0.38,0.3
PUSH TEST,,,,,,,,,,,,,,,,,
PUSH TEST: 1. Labour Budget %,0,,,,,,,,,,,,,,,0,
PUSH TEST: 2. Daily Labour Actual % of Sales,0,,,,,,,,,,,,,,,0,
PUSH TEST: 3. WTD Labour Actual % of Sales,0,,,,,,,,,,,,,,,0,
